2023-12-02 15:42:50.579 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-02 15:42:50.592 +07:00 [INF] Unzip : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement.zip
2023-12-02 15:46:24.721 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230324_0236035053.txt
2023-12-02 15:46:24.724 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230325_0236035053.txt
2023-12-02 15:46:24.729 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230326_0236035053.txt
2023-12-02 15:46:24.733 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230327_0236035053.txt
2023-12-02 15:46:24.737 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230328_0236035053.txt
2023-12-02 15:46:24.740 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230329_0236035053.txt
2023-12-02 15:46:24.745 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230330_0236035053.txt
2023-12-02 15:46:24.749 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_0236035053.txt
2023-12-02 15:46:24.753 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_1016044887.txt
2023-12-02 15:46:24.758 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_1116012685.txt
2023-12-02 15:46:24.761 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_1156000955.txt
2023-12-02 15:46:24.765 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_1166002780.txt
2023-12-02 15:46:24.768 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_1186030852.txt
2023-12-02 15:46:24.770 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2016030259.txt
2023-12-02 15:46:24.774 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2046006062.txt
2023-12-02 15:46:24.777 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2076044310.txt
2023-12-02 15:46:24.781 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2086043252.txt
2023-12-02 15:46:24.784 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2116013399.txt
2023-12-02 15:46:24.789 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2136037749.txt
2023-12-02 15:46:24.793 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2156030596.txt
2023-12-02 15:46:24.797 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2186023792.txt
2023-12-02 15:46:24.800 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2216009679.txt
2023-12-02 15:46:24.803 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_2336001055.txt
2023-12-02 15:46:24.807 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3066002233.txt
2023-12-02 15:46:24.810 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3086018852.txt
2023-12-02 15:46:24.813 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3106016159.txt
2023-12-02 15:46:24.816 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3116008418.txt
2023-12-02 15:46:24.820 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3226024418.txt
2023-12-02 15:46:24.823 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_3426001209.txt
2023-12-02 15:46:24.827 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4016004292.txt
2023-12-02 15:46:24.831 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4036025988.txt
2023-12-02 15:46:24.836 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4046013060.txt
2023-12-02 15:46:24.840 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4056007179.txt
2023-12-02 15:46:24.844 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4086006197.txt
2023-12-02 15:46:24.847 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4096030112.txt
2023-12-02 15:46:24.851 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\KTB_Statement\estmt_20230331_4116040789.txt
