2023-12-20 17:49:26.877 +07:00 [INF] Call.. api/BankStatement/ImportFile/Import
2023-12-20 17:56:49.746 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_5336015865.txt
2023-12-20 17:56:49.749 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6016044881.txt
2023-12-20 17:56:49.753 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6036028482.txt
2023-12-20 17:56:49.757 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6046034566.txt
2023-12-20 17:56:49.760 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6056025438.txt
2023-12-20 17:56:49.765 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6106024162.txt
2023-12-20 17:56:49.768 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6146033480.txt
2023-12-20 17:56:49.772 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6166031009.txt
2023-12-20 17:56:49.775 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_6206046346.txt
2023-12-20 17:56:49.779 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7016038807.txt
2023-12-20 17:56:49.782 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7036047526.txt
2023-12-20 17:56:49.785 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7056052967.txt
2023-12-20 17:56:49.788 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7066031180.txt
2023-12-20 17:56:49.792 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7096021264.txt
2023-12-20 17:56:49.796 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7106019968.txt
2023-12-20 17:56:49.800 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7126035004.txt
2023-12-20 17:56:49.803 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7136035082.txt
2023-12-20 17:56:49.807 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7246007520.txt
2023-12-20 17:56:49.810 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_7276004910.txt
2023-12-20 17:56:49.814 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_8016002447.txt
2023-12-20 17:56:49.817 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_8036037254.txt
2023-12-20 17:56:49.820 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_8056018069.txt
2023-12-20 17:56:49.823 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20230930_8076041104.txt
