2023-12-27 18:11:08.159 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_2156030596.txt
2023-12-27 18:11:08.163 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_2186023792.txt
2023-12-27 18:11:08.169 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_2216009679.txt
2023-12-27 18:11:08.172 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_2336001055.txt
2023-12-27 18:11:08.175 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_3066002233.txt
2023-12-27 18:11:08.179 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_3086018852.txt
2023-12-27 18:11:08.182 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_3106016159.txt
2023-12-27 18:11:08.186 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_3116008418.txt
2023-12-27 18:11:08.189 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_3226024418.txt
2023-12-27 18:11:08.193 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_3426001209.txt
2023-12-27 18:11:08.196 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_4016004292.txt
2023-12-27 18:11:08.199 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_4036025988.txt
2023-12-27 18:11:08.203 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_4046013060.txt
2023-12-27 18:11:08.207 +07:00 [INF] Unzip files : C:\CFRS\BANKSTATEMENT\KTB\Statement\estmt_20231130_4056007179.txt
